stream_id,time_end,time_recorded,reading_type,phenomena_1,phenomena_2,phenomena_3,phenomena_4
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 0:00:00,2022-04-18 0:32:45,metre,83.4,11.693333,9.903192374,1.790140626
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 0:15:00,2022-04-18 0:32:45,metre,83.1,12.171428,10.33517751,1.836250486
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 0:30:00,2022-04-18 0:47:37,metre,82.8,12.400001,10.52506726,1.874933744
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 0:45:00,2022-04-18 1:02:36,metre,67.2,12.479999,10.60245525,1.877543746
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 1:00:00,2022-04-18 1:17:09,metre,82.6,12.313335,10.4203488,1.892986198
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 1:15:00,2022-04-18 1:32:58,metre,82.5,12.473336,10.5645694,1.908766599
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 1:30:00,2022-04-18 1:32:58,metre,82.1,12.726666,10.76728425,1.959381745
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 1:45:00,2022-04-18 2:02:07,metre,82.1,13.033334,11.06339416,1.969939836
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 2:00:00,2022-04-18 2:17:13,metre,81.7,13.24,11.22028674,2.019713259
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 2:15:00,2022-04-18 2:32:17,metre,80.4,13.666668,11.49190722,2.174760777
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 2:30:00,2022-04-18 2:47:11,metre,78.5,13.826666,11.44080651,2.385859489
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 2:45:00,2022-04-18 3:04:05,metre,76,13.953335,0.2316644,2.661195621
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 3:00:00,2022-04-18 3:17:30,metre,69.4,14.193333,10.80598196,3.387351038
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 3:15:00,2022-04-18 3:40:31,metre,63.800003,14.333331,10.3294983,4.003832695
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 3:45:00,2022-04-18 4:04:39,metre,61.4,14.279999,10.02127083,4.258728168
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 4:00:00,2022-04-18 4:17:11,metre,60.000004,14.346664,9.929641629,4.417022371
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 4:15:00,2022-04-18 4:32:14,metre,59.3,14.393331,9.895482497,4.497848503
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 4:30:00,2022-04-18 4:47:01,metre,59.500004,14.466666,9.982996855,4.483669145
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 4:45:00,2022-04-18 5:03:02,metre,59.2,14.459997,9.944324933,4.515672067
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 5:00:00,2022-04-18 5:17:33,metre,59.500004,14.220002,9.761781183,4.458220817
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 5:15:00,2022-04-18 5:34:37,metre,60.5,14.086668,9.749792804,4.336875196
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 5:30:00,2022-04-18 5:47:00,metre,61,13.926666,9.659224723,4.267441277
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 5:45:00,2022-04-18 6:04:15,metre,61.6,13.773334,9.584761921,4.188572079
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 6:00:00,2022-04-18 6:18:43,metre,63.4,13.580001,9.600333702,3.979667298
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 6:15:00,2022-04-18 6:35:36,metre,63.9,13.5,9.580260848,3.919739152
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 6:30:00,2022-04-18 6:46:56,metre,64.8,13.5,9.675248615,3.824751385
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 6:45:00,2022-04-18 7:01:56,metre,65.200005,13.44,9.662491492,3.777508508
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 7:00:00,2022-04-18 7:17:04,metre,66,13.240001,9.563006996,3.676994004
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 7:15:00,2022-04-18 7:21:13,metre,66.5,13.046666,9.437410141,3.609255859
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 7:30:00,2022-04-18 7:47:12,metre,67.799995,12.926665,9.461933691,3.464731309
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 7:45:00,2022-04-18 8:06:11,metre,69.4,12.759999,9.473344305,3.286654695
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 8:00:00,2022-04-18 8:17:09,metre,70.4,12.699998,9.520978023,3.179019977
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 8:15:00,2022-04-18 8:32:09,metre,71.4,12.553332,9.487265292,3.066066708
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 8:30:00,2022-04-18 8:47:18,metre,72.2,12.353334,9.382201449,2.971132551
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 8:45:00,2022-04-18 9:04:34,metre,73.1,12.046665,9.186146121,2.860518879
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 9:00:00,2022-04-18 9:17:52,metre,73.5,11.686667,8.887804286,2.798862714
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 9:15:00,2022-04-18 9:32:03,metre,73.799995,11.433333,8.679229656,2.754103344
3b67b2c90a02c596a2d245d6680ae597cbdd9bd6398e17febc311a66f0fcff8d,2022-04-18 9:30:00,2022-04-18 9:47:12,metre,73.6,11.246665,8.483282775,2.763382225
