stream_id,time_end,time_recorded,reading_type,temp_max,temp_avg,temp_min
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 0:00:00,2022-04-18 0:09:23,temperature,27,26.733334,26.6
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 0:00:00,2022-04-18 0:10:59,temperature,16.2,16.04,15.8
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 0:15:00,2022-04-18 0:19:50,temperature,27.6,27.242859,27
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 0:15:00,2022-04-18 0:29:57,temperature,17.4,16.871428,16.3
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 0:30:00,2022-04-18 0:35:55,temperature,27.9,27.480001,27.3
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 0:30:00,2022-04-18 0:35:56,temperature,17.6,17.299997,17.1
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 0:45:00,2022-04-18 0:52:43,temperature,28,27.753338,27.6
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 0:45:00,2022-04-18 0:57:02,temperature,17.9,17.759998,17.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 1:00:00,2022-04-18 1:08:59,temperature,17.9,27.153332,26.9
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 1:00:00,2022-04-18 1:13:29,temperature,,17.693335,17.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 1:15:00,2022-04-18 1:22:17,temperature,26.9,26.786665,26.5
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 1:15:00,2022-04-18 1:26:25,temperature,17.5,17.220001,17.1
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 1:30:00,2022-04-18 1:37:00,temperature,26.4,26.013336,25.7
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 1:30:00,2022-04-18 1:42:25,temperature,17.5,17.399998,17.2
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 1:45:00,2022-04-18 1:47:28,temperature,27.6,26.733334,26.1
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 1:45:00,2022-04-18 1:52:20,temperature,17.5,17.286665,17.2
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 2:00:00,2022-04-18 2:08:15,temperature,28.2,27.986664,27.7
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 2:00:00,2022-04-18 2:06:06,temperature,17.9,17.686666,17.5
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 2:15:00,2022-04-18 2:16:48,temperature,28.4,28.026667,27.7
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 2:15:00,2022-04-18 2:27:19,temperature,18,17.893332,17.8
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 2:30:00,2022-04-18 2:40:17,temperature,28.5,28.279999,28
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 2:30:00,2022-04-18 2:35:57,temperature,17.9,17.766666,17.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 2:45:00,2022-04-18 2:51:35,temperature,28.2,28.100002,27.6
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 2:45:00,2022-04-18 2:55:45,temperature,17.9,17.8,17.7
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 3:00:00,2022-04-18 3:07:29,temperature,28.9,27.993334,27.4
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 3:15:00,2022-04-18 3:23:58,temperature,null,null,null
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 3:30:00,2022-04-18 3:44:04,temperature,28.1,27.913332,27.8
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 3:30:00,2022-04-18 3:43:21,temperature,18.4,18.079998,17.9
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 3:45:00,2022-04-18 3:49:44,temperature,28.1,27.693333,27.4
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 3:45:00,2022-04-18 3:50:55,temperature,17.9,17.713331,17.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 4:00:00,2022-04-18 4:12:03,temperature,27.9,27.646664,27.5
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 4:00:00,2022-04-18 4:10:31,temperature,17.8,17.646666,17.5
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 4:15:00,2022-04-18 4:25:13,temperature,27.9,27.413334,26.7
